username,hash,permissions,[floors],name,lastName,userId,createdDate,lastUpdateDate,isActive
username01,4b8f353889d9a05d17946e26d014efe99407cba8bd9d0102d4aab10ce6229043,1,[],name01,lastName01,00000001,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username02,08f0d4cb02352f2f7fd251fbbe1c9aa5fd176bb0c7f1bd35e4f71a8dcb820852,2,[],name02,lastName02,00000002,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username03,e7b6e642dffba360595333cf7e78d1c0a5b2fb2f5d28e774095fd88000a659b6,4,[2&3],name03,lastName03,00000003,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username03,e7b6e642dffba360595333cf7e78d1c0a5b2fb2f5d28e774095fd88000a659b6,8,[],name04,lastName04,00000004,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username04,ddc1fc3a789a050b64e06955f2ea275e7e6a01899518cbbb02ce7169d75d964c,16,[],name01,lastName01,00000001,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username05,e0f2bad1704f99bffce091b4f728c920f8900afe13290769d002658cd9e2b96b,32,[],name05,lastName05,00000005,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username06,6e010ee93977b95447363e9f8bddfc39ca9fa98411327e14a3f3360c3a3e91e7,3,[],name06,lastName06,00000006,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username07,a7970dca468be56eda89ccd97d3f9d86b64cd80d602c036f468a54cf5f61712a,48,[],name07,lastName07,00000007,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username08,66aae656a26e9d57b2d051138cfbb0a63cf4e2f47d27b4a6aad2000f2f3c89c6,4,[4&5&6&7],name08,lastName08,00000008,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username09,3769f1dffa00adc349be115dd611be1478b8448be7ee0fe70fe0730e64a54122,1,[],name09,lastName09,00000009,13/10/2024-16:50:10,13/10/2024-16:50:10,1
username10,aa4a9ea03fcac15b5fc63c949ac34e7b0fd17906716ac3b8e58c599cdc5a52f0,35,[],name10,lastName10,00000010,13/10/2024-16:50:10,13/10/2024-16:50:10,1
ty,4f9db7f8e5068a3ed09c4bdf2ddd980a290126b497155aba1b4a385622d13144,1,[4&5&6&7],ty,ty,ID00000,06/11/2024-19:07:12,06/11/2024-19:07:12,1
