username,hash,permissions,[floors],name,lastName,userId,createdDate,lastUpdateDate,isActive
PedroRM1,7ffb14dd8152c90ae0368a6e74fe5a6927fe93fd3f1f2e2cd79947aca11667a8,1,[],Pedro,Ramírez,00000001,13/10/2024-16:50:10,13/10/2024-16:50:10,1
MartaES2,080cae437eacf1b337fa951a1c95dbecaff6d7614c78a73e713d9130103b4c8d,2,[],Marta,Esquivel,00000002,13/10/2024-16:50:10,13/10/2024-16:50:10,1
BrayanST3,cbaa36fd783c31d2cb5289bf9aaff9e485314987c162f67aa357bd746dce1cce,4,[2&3],Brayan,Saborío,00000003,13/10/2024-16:50:10,13/10/2024-16:50:10,1
AshleyAG3,37ce305f82836ea4c98def09907acce7639ebecd619bc54635130f867bdfb84d,8,[],Ashley,Alvarado,00000004,13/10/2024-16:50:10,13/10/2024-16:50:10,1
MarcoAT4,60d50e4d6802cd2be1e4cd2d5166adb3ec5e2186e721d465fefc82a7c913b25a,16,[],Marco,Acuña,00000001,13/10/2024-16:50:10,13/10/2024-16:50:10,1
MilenaSO6,fe25d2a028e3107c2155bc62f693537236e5bf858254a1cd6e01beccadcff170,32,[],Milena,Solís,00000005,13/10/2024-16:50:10,13/10/2024-16:50:10,1
HectorHG5,43f71a563b379b41b2b45cc8a1f0ebd25ed2003d532841d2c12ee3912331fcdb,3,[],Héctor,Herrera,00000006,13/10/2024-16:50:10,13/10/2024-16:50:10,1
JudithS7,44c64a01a3fc4432d777b423ace01d6bd034027d9bf62526c0299117d5005aa6,48,[],Judith,Solano,00000007,13/10/2024-16:50:10,13/10/2024-16:50:10,1
WarrenMI8,b929f27cba5221619173e112971b16d740cafc78446f9860848888bae1175a85,4,[4&5&6&7],Warren,Morales,00000008,13/10/2024-16:50:10,13/10/2024-16:50:10,1
GabySU9,c691b1b7d0f377c0b53eeec6b051b9e0577a62bcf6198b7475aaa79e8a56b9ba,1,[],Gabriela,Soto,00000009,13/10/2024-16:50:10,13/10/2024-16:50:10,1
SebasUlaca7,5c3065e57368e0d098b24df33b458fef19ac0d145da297d437bc4ef4d682f1ff,35,[],Sebastián,Ulate,00000010,13/10/2024-16:50:10,13/10/2024-16:50:10,1
superuser,a1fce4363854ff888cff4b8e7875d600c2682390412a8cf79b37d0b11148b0fa,128,[1&2&3&4&5&6],super,user,101,06/11/2024-22:15:34,06/11/2024-22:15:34,1
